,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
0,1e-05,256.0,1.0,0.0,1.2355538606643677,1.3225376605987549,0.5820833444595337,0.5396296381950378
1,1e-05,256.0,1.0,1e-05,1.2279881238937378,1.3207467794418335,0.5851389169692993,0.5462962985038757
2,1e-05,256.0,1.0,0.0001,1.2648531198501587,1.356849193572998,0.5841203927993774,0.5377777814865112
3,1e-05,256.0,2.0,0.0,1.1189953088760376,1.2286509275436401,0.6133333444595337,0.5640740990638733
4,1e-05,256.0,2.0,1e-05,1.1204766035079956,1.2311033010482788,0.614814817905426,0.5633333325386047
5,1e-05,256.0,2.0,0.0001,1.187743067741394,1.2910057306289673,0.6093981266021729,0.5581481456756592
6,1e-05,256.0,3.0,0.0,1.0796918869018555,1.1986241340637207,0.6257407665252686,0.5651851892471313
7,1e-05,256.0,3.0,1e-05,1.0952624082565308,1.2092620134353638,0.6213425993919373,0.5748147964477539
8,1e-05,256.0,3.0,0.0001,1.1049494743347168,1.2249287366867065,0.6332407593727112,0.5881481766700745
9,1e-05,512.0,1.0,0.0,1.1297646760940552,1.2550029754638672,0.6235185265541077,0.5655555725097656
10,1e-05,512.0,1.0,1e-05,1.1380850076675415,1.2616125345230103,0.6205092668533325,0.5581481456756592
11,1e-05,512.0,1.0,0.0001,1.199445366859436,1.3256851434707642,0.6224536895751953,0.5622222423553467
12,1e-05,512.0,2.0,0.0,0.9988163709640503,1.1585845947265625,0.6605092883110046,0.5925925970077515
13,1e-05,512.0,2.0,1e-05,0.9750338196754456,1.1433547735214233,0.6727314591407776,0.602222204208374
14,1e-05,512.0,2.0,0.0001,1.0710610151290894,1.2346998453140259,0.6631481647491455,0.5974074006080627
15,1e-05,512.0,3.0,0.0,0.9042391777038574,1.08382248878479,0.6892129778862,0.6170370578765869
16,1e-05,512.0,3.0,1e-05,0.8913088440895081,1.0732134580612183,0.695972204208374,0.6185185313224792
17,1e-05,512.0,3.0,0.0001,1.0085086822509766,1.1897321939468384,0.689120352268219,0.618148148059845
18,1e-05,1024.0,1.0,0.0,1.0485879182815552,1.2052422761917114,0.6572222113609314,0.5799999833106995
19,1e-05,1024.0,1.0,1e-05,1.0702297687530518,1.230385184288025,0.6519907116889954,0.5755555629730225
20,1e-05,1024.0,1.0,0.0001,1.175815463066101,1.335059404373169,0.6564351916313171,0.5792592763900757
21,1e-05,1024.0,2.0,0.0,0.7993834018707275,1.0474859476089478,0.7370370626449585,0.6325926184654236
22,1e-05,1024.0,2.0,1e-05,0.8065764904022217,1.0521979331970215,0.7392592430114746,0.6414814591407776
23,1e-05,1024.0,2.0,0.0001,0.9666951298713684,1.2075605392456055,0.7347221970558167,0.6285185217857361
24,1e-05,1024.0,3.0,0.0,0.6701042652130127,0.9772942662239075,0.7752777934074402,0.6618518233299255
25,1e-05,1024.0,3.0,1e-05,0.670366644859314,0.9876157641410828,0.7820833325386047,0.6666666865348816
26,1e-05,1024.0,3.0,0.0001,0.8750248551368713,1.1873815059661865,0.7804166674613953,0.6696296334266663
27,0.0001,256.0,1.0,0.0,1.0067532062530518,1.201947569847107,0.6581018567085266,0.5925925970077515
28,0.0001,256.0,1.0,1e-05,0.9985690712928772,1.2087750434875488,0.6608796119689941,0.580740749835968
29,0.0001,256.0,1.0,0.0001,1.0193346738815308,1.2088578939437866,0.6611111164093018,0.5955555438995361
30,0.0001,256.0,2.0,0.0,0.7286022901535034,1.0350725650787354,0.7523148059844971,0.6437036991119385
31,0.0001,256.0,2.0,1e-05,0.7600011825561523,1.0369594097137451,0.7401388883590698,0.6451851725578308
32,0.0001,256.0,2.0,0.0001,0.7786845564842224,1.060616374015808,0.7417129874229431,0.6437036991119385
33,0.0001,256.0,3.0,0.0,0.5498712658882141,0.9740747809410095,0.8161574006080627,0.6792592406272888
34,0.0001,256.0,3.0,1e-05,0.5913687944412231,0.9637748003005981,0.8018981218338013,0.6777777671813965
35,0.0001,256.0,3.0,0.0001,0.6555628776550293,1.0083798170089722,0.7903240919113159,0.6703703999519348
36,0.0001,512.0,1.0,0.0,0.8755916953086853,1.1357654333114624,0.7063425779342651,0.610370397567749
37,0.0001,512.0,1.0,1e-05,0.8945021629333496,1.1403745412826538,0.6978240609169006,0.605555534362793
38,0.0001,512.0,1.0,0.0001,0.9414740800857544,1.1814543008804321,0.6897222399711609,0.6033333539962769
